gene_id	transcript_id(s)	T1_R1	T1_R10	T1_R2	T1_R3	T1_R4	T1_R5	T1_R6	T1_R7	T1_R8	T1_R9
ENSOARG00020017115	ENSOART00020026397,ENSOART00020026465	331.00	510.00	281.00	215.00	338.00	365.00	529.00	395.00	416.00	602.00
ENSOARG00020017116	ENSOART00020026370,ENSOART00020026401	0.00	0.00	0.00	0.00	0.00	3.00	34.93	0.00	0.00	0.00
ENSOARG00020017117	ENSOART00020026347	290.00	702.00	67.00	102.00	406.00	49.00	106.00	83.00	770.00	724.00
ENSOARG00020017118	ENSOART00020026471	1.00	14.00	1.00	15.00	278.00	27.00	4.00	231.00	9.00	19.00
ENSOARG00020017119	ENSOART00020026447,ENSOART00020026522	223.00	404.00	256.00	163.00	286.00	285.00	601.00	340.00	566.00	440.00
ENSOARG00020017120	ENSOART00020026362,ENSOART00020026524	29.00	110.00	36.00	66.00	39.00	74.00	48.00	34.00	36.00	19.00
ENSOARG00020017121	ENSOART00020026316	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017122	ENSOART00020026324,ENSOART00020026491,ENSOART00020026664	511.00	241.00	444.00	314.00	372.00	457.00	170.00	698.00	585.00	62.00
ENSOARG00020017123	ENSOART00020026352	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017124	ENSOART00020026333	9.00	14.00	11.00	3.00	6.00	8.00	28.00	9.00	19.00	38.00
ENSOARG00020017125	ENSOART00020026364	9.28	30.71	64.95	46.53	91.85	93.21	81.58	66.49	42.54	66.67
ENSOARG00020017126	ENSOART00020026810,ENSOART00020026918	126.00	118.00	151.00	145.00	311.00	228.00	36.00	186.00	160.00	65.00
ENSOARG00020017127	ENSOART00020027684	4.82	4.28	9.79	3.18	1.64	4.83	1.33	7.54	6.26	2.67
ENSOARG00020017128	ENSOART00020026376	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017129	ENSOART00020026394	3546.00	5409.00	2350.00	2327.00	2373.00	3622.00	8307.00	2322.00	7151.00	7183.00
ENSOARG00020017130	ENSOART00020026328	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017131	ENSOART00020026340	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017132	ENSOART00020026338	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017133	ENSOART00020029044,ENSOART00020029090,ENSOART00020029138,ENSOART00020029187	6.00	4.00	4.00	0.00	27.00	2.00	16.00	65.00	8.00	13.00
ENSOARG00020017134	ENSOART00020026339	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
